source_id,ra,dec,pf,p1_o,best_classification,phot_g_mean_mag
4469939045268714880,272.9809946283156,3.259139867481329,0.6985930263451533,,RRab,15.880756
4469996185510196608,273.4024091889951,3.480055229018646,0.48820415248005117,,RRab,15.74971
4469996391668412160,273.521784392158,3.4523421105518755,,0.2537502733135807,RRc,19.369799
4470196743302399232,271.4771306605477,3.5322736183627916,,0.25053246233245147,RRc,15.4217005
4470889534405714688,274.11446691525794,5.349369118775483,0.6029075922122642,,RRab,16.90237
4471646002708085888,272.8720530001526,5.802893509472542,0.45877807231482537,,RRab,14.902723
4471870990271234432,271.80044428238386,5.927338745932121,,0.3363940491179227,RRc,17.140295
4276047728843455360,272.7419249777699,1.4797233567788697,,0.3366428410115921,RRc,20.78525
4276158298490514816,272.5578173618908,2.168398643187764,0.4913275944435673,,RRab,15.7583475
4470498005183429888,274.19589516636216,4.360374586319864,,0.3408810431741225,RRc,17.986555
4481092143313783808,272.9850115256052,7.426111216849024,0.6050325963270596,,RRab,16.535177
4481096889260322816,272.8927466123382,7.528101469403304,,0.34556170797009883,RRc,16.53882
4284383573183882112,276.529747841361,4.670593817940054,0.6040014930272442,,RRab,17.621353
4475087744677117184,272.25078210026254,7.1703239732154564,,0.38964885028768237,RRc,18.290314
4475387155435022592,271.0205258938433,7.650273922758608,0.5694868102346878,,RRab,18.650658
4276945372717736832,277.46254422234483,2.2378305459447323,,0.3360867965686325,RRc,18.239498
4477969083620244096,274.7336462481237,7.413969134802595,0.693964785515093,,RRab,18.226124
4277823057872692736,274.1827073137438,3.08366335937409,,0.3612096941435963,RRc,16.594921
4277999907438228096,276.3979566403549,3.087820312226433,,0.23473669894663632,RRc,17.222195
4278169648856144128,274.9006987890811,3.4269197030903435,0.5435015737531201,,RRab,16.477303
4278215171205361536,274.5812360252803,3.448108912913111,0.4981322747837569,,RRab,17.03246
4468458479836490752,270.98185122501974,2.313493531453022,0.5737129034811499,,RRab,16.622534
4277585597715616640,273.6267153514713,2.033550844932343,0.6516289749601774,,RRab,18.573416
4477370090295234944,277.2093606816578,7.071587528143043,0.5810622583834831,,RRab,17.238106
4477664420128911744,276.57724002759636,7.8722671923061975,0.4436193635970397,,RRab,15.063576
4470238868342895616,272.223195994508,4.015126046507118,0.7143908931151363,,RRab,18.70434
4470964782241232896,271.6192530482297,3.9565916316194336,,0.32012776883987243,RRc,20.611403
4470988975786671488,271.70966966842803,4.030984060149644,0.6045444446060844,,RRab,14.9111395
4471109990785468672,272.04302070229414,4.483748553600983,0.6071956952045804,,RRab,15.103733
4471412833222282880,271.7534052252945,5.267481079087424,0.5882445997948152,,RRab,18.371328
4471617518483574528,272.8027683977002,5.438029424726798,,0.24620022421015111,RRc,15.202838
4471655692153837824,273.5951667632121,5.52515956261891,0.4447907583803584,,RRab,15.670844
4471995402582103552,273.18142557418827,6.609307703578157,0.5086587304127773,,RRab,16.470655
4275978803214049664,271.48761404658745,1.1417956877336806,0.6675566269098462,,RRab,17.462849
4470255391074600064,272.9872793220289,3.829079391621529,,0.27240243276982645,RRc,18.816694
4476637746831559680,275.76735545994075,5.415518332390941,,0.27406171387694017,RRc,12.16105
4479112300837937280,277.78120039093244,7.876284254584444,,0.21944213480530694,RRc,19.159578
4284401676453238528,276.03904058495175,4.540286173209462,,0.39763755519620303,RRc,16.111897
4284433734092391296,275.8815244210854,4.972033866028382,0.45396576216907497,,RRab,16.128489
4475155059705508480,271.90385432583975,7.443243188201102,0.5889829396810956,,RRab,16.087927
4475318710841136512,271.48053967569535,7.409844638285054,0.649871060346658,,RRab,18.446402
4276689809271149696,275.4243475404171,1.9491878804287783,0.6177531800079779,,RRab,20.022417
4276720492525476096,275.5109292740895,2.1518546775659204,,0.22615348097705487,RRc,14.845244
4276834017095276800,276.5937234371104,1.9838569764112213,0.5234048516953735,,RRab,20.294252
4276857549225904768,276.88979096716656,2.0888628840959043,0.46896928141857824,,RRab,19.212347
4477914971330236544,275.26091874372105,7.46046524672093,,0.34069572452307634,RRc,20.201136
4478238640066776832,274.18838783693883,7.963834446812854,,0.2816739716224126,RRc,15.02653
4478269696973683968,275.7465834427206,7.319087388145382,,0.3175924005814638,RRc,16.42172
4278070276183890560,276.0448741157737,3.390027896035592,,0.31693011548305655,RRc,19.270609
4278121850156787584,276.1420649905206,3.806014540478246,0.4655025438505886,,RRab,19.080338
4278194112990848384,275.2287634761431,3.5864619507016338,0.5399289436731067,,RRab,15.507223
4468151028898844416,271.5935473400503,1.6107708552935998,0.535869827504374,,RRab,16.280027
4468231297550298240,271.10372449277133,1.86519019322053,,0.30032146188823267,RRc,17.567629
4468284761290980480,272.2082314194788,2.0170349426425473,0.5113511803094075,,RRab,17.392239
4468461129832037248,271.2531977538416,2.354101100848475,0.36662414489144496,,RRab,20.671356
4468466897975942656,271.27195405534883,2.497125326059905,0.5597466068124596,,RRab,17.331694
4476865070866814208,274.7864140548702,5.511876729972313,0.4537565362639453,,RRab,17.731682
4476884488421642496,274.8113932788625,5.766545275580912,0.5616286232336988,,RRab,16.327192
4477169944823680128,277.0983793103793,6.39822047394972,,0.3520380102476404,RRc,17.763096
4277538868472001408,274.59938617854914,2.63145748144479,0.5858911867139749,,RRab,18.188494
4277722491218330112,274.1200826025591,2.600664852247107,0.592689754336229,,RRab,15.364435
4468596743421293184,271.61476297673664,2.825393730719026,0.5403799069264101,,RRab,18.150095
4468674332014361856,271.6955236705126,3.310551223620507,0.6828428221822574,,RRab,16.822824
4469457424807988352,270.9392032509153,3.625866458053145,,0.3535364023459148,RRc,15.553754
4477447472736295040,276.1668017625142,6.945936878982669,0.4740424385027865,,RRab,17.437973
4477527015532624128,275.93696098907895,7.391875160521074,0.4765362877712883,,RRab,15.611357
4477769732714636288,274.64185751609506,6.779702412020946,,0.3045494572455009,RRc,20.298164
4477796567676283776,273.57879336924685,6.537426136247598,0.5996002126595645,,RRab,16.108929
4471407443041334144,271.71420404831116,5.158427528991472,,0.23908396926022102,RRc,15.15928
4472004993253167616,272.48974763647607,6.366077695899211,0.6506219247764915,,RRab,16.020441
4275996601557576320,272.0011300692524,1.2919515089710907,,0.44822136476830904,RRc,15.122722
4276015392036020352,271.78727669629467,1.4987297522135568,,0.3084832162020572,RRc,16.306509
4278347907169781120,276.00503509777576,4.397046646722444,0.5983850427135454,,RRab,20.216139
4470287384292079104,273.221221956026,4.101960720122859,,0.2795455861825204,RRc,16.937342
4470309993000256256,273.1852287914979,4.326543666350625,0.5220497260175969,,RRab,14.387887
4470714750719718912,274.0964596257799,4.790619657275571,0.6972211155238209,,RRab,15.024398
4476738528255221504,276.14743969399416,5.670177546054606,0.7729361186353348,,RRab,17.114733
4284543861352594944,276.66833616101974,5.2103283807685035,0.5241874733773522,,RRab,16.737904
4284589903406363776,277.2632040067328,5.7135454862666935,0.5577136249428041,,RRab,18.47462
4474931240368573312,271.7340455497686,6.463433871191591,,0.3228333492300566,RRc,14.279466
4474948965692190848,271.5807588692885,6.627027695462141,0.5058153299344362,,RRab,17.19722
4475002635606465408,271.3753010562072,6.812112411619451,,0.3124119505128131,RRc,16.724422
4475422064930264704,271.38817139727774,7.9315140499085794,0.5822437377454097,,RRab,18.335949
4277089236933515392,275.97586264727187,2.2399846313157834,0.5816030594468073,,RRab,19.044086
4477908168106112768,275.2563852038092,7.2807775372314865,0.5988364463220661,,RRab,15.996072
4478189643071559552,274.55132935600585,7.8866093744792956,0.27961206022758095,,RRab,18.110111
4478214279013111680,273.7262006633526,7.675129647928514,0.5979656096859429,,RRab,17.425764
4478225583366351744,273.9500954086723,7.913343987061015,0.5412573850529703,,RRab,16.686567
4478097421541750784,273.42301825085906,7.374276627124845,,0.41468402294164686,RRc,17.198086
4277788427558325248,273.88163428267137,2.821481654512394,0.44482128147965433,,RRab,16.106974
4278034237116927616,276.636004285239,3.39444335970191,0.603255848341298,,RRab,19.898561
4468283558709489664,272.3014546264375,1.9884306263027334,0.5549244667657639,,RRab,16.11708
4476823912193325312,275.98966575214723,6.231137514605541,,0.28238320509016257,RRc,19.975853
